lat,lng,mag
-95.812735,29.534062,1
-95.75289,29.784646,1
-95.745032,29.785077,1
-95.743095,29.812214,1
-95.736475,29.734186,1
-95.735757,29.785131,1
-95.735757,29.785131,1
-95.719071,29.784911,1
-95.719071,29.784911,1
-95.718903,29.788383,1
-95.706069,29.787926,1
-95.70401,29.800337,1
-95.70401,29.800337,1
-95.700736,29.795713,1
-95.700616,29.785553,1
-95.700272,29.798346,1
-95.700172,29.800338,1
-95.698379,29.785537,1
-95.698379,29.785537,1
-95.698106,29.794002,1
-95.698106,29.794002,2
-95.698106,29.794002,2
-95.698051,29.793984,1
-95.697707,29.787089,1
-95.697707,29.787089,1
-95.697707,29.787089,1
-95.697707,29.787089,1
-95.697707,29.787089,1
-95.697707,29.787089,1
-95.697707,29.787089,1
-95.697707,29.787089,1
-95.697707,29.787089,1
-95.697043,29.794263,1
-95.697043,29.794263,1
-95.697043,29.794263,1
-95.697043,29.794263,1
-95.697043,29.794263,1
-95.697043,29.794263,1
-95.697043,29.794263,1
-95.697043,29.794263,1
-95.696963,29.794376,1
-95.694829,29.800117,1
-95.694829,29.800117,1
-95.694817,29.800346,1
-95.694817,29.800346,1
-95.693419,29.792421,1
-95.693419,29.792421,1
-95.693413,29.792337,1
-95.693413,29.792337,1
-95.693002,29.787519,1
-95.693002,29.787519,1
-95.693002,29.787519,1
-95.693002,29.787519,1
-95.693002,29.787519,1
-95.693002,29.787519,1
-95.693002,29.787519,1
-95.692624,29.793154,1
-95.692624,29.793154,1
-95.692624,29.793154,1
-95.692624,29.793154,1
-95.692624,29.793154,1
-95.692624,29.793154,1
-95.692624,29.793154,1
-95.692624,29.793154,1
-95.692624,29.793154,1
-95.692624,29.793154,1
-95.692459,29.79309,1
-95.691656,29.785504,1
-95.688849,29.785478,1
-95.688703,29.788908,1
-95.688703,29.788908,1
-95.688628,29.788906,1
-95.688628,29.788906,1
-95.688628,29.788906,1
-95.688628,29.788906,1
-95.688479,29.7889,1
-95.688423,29.794931,1
-95.688423,29.794931,1
-95.688423,29.794931,1
-95.688423,29.794931,1
-95.688423,29.794931,1
-95.688423,29.794931,1
-95.688423,29.794931,1
-95.688423,29.794931,1
-95.68841,29.794684,1
-95.688383,29.793538,1
-95.688383,29.793538,1
-95.688383,29.793538,1
-95.688383,29.793538,1
-95.688376,29.793112,1
-95.688376,29.793112,1
-95.688366,29.792199,1
-95.688366,29.792199,1
-95.688366,29.792199,1
-95.688366,29.792199,1
-95.688366,29.792199,1
